created_date,author,type,media,version,articleId,revenue>spend,Headline,Media link,campaign_name
2024-02-03,Yuliia,Alt,VID,v1,417608,True,Wife Sees Hot Girl Handing Her Husband a Note ‘Thanks for Last Night' – Story of the Day,video,417608 Alt v1 Yuliia VID
2024-02-03,Artem,Alt,GIF,v2,417637,True,Man Files for Divorce Immediately After Seeing His Newborn Son – Story of the Day,GIF,417637 Alt v2 Artem GIF
2024-02-03,Artem,Original,VID,v1,417224,True,"I Posted a Photo From My Wedding Anniversary, Suddenly Received a Call ""You're in Danger"" ",video,417224 Original v1 Artem VID
2024-02-03,Andrii,Original,GIF,v4,417777,True,Magician Saves Me From Abuser,GIF,417777 Original v4 Andrii GIF
2024-02-03,Vasyl,Original,IMG,v1,402614,True,"My Husband Kept Mocking Me for 'Doing Nothing' at Home, I Knew It Was Time to Teach Him a Lesson",image,402614 Original v1 Vasyl IMG
2024-02-03,Dima,Original,GIF,v3,417597,True,"I Thought My Granny Left Me Just an Urn of Ashes, Until the Urn Shatters One Day",GIF,417597 Original v3 Dima GIF
2024-02-02,Dima,Original,IMG,v1,414954,True,I Walked Into My Adopted Son's Room and Saw Him Nursing Strange Baby,image,414954 Original v1 Dima IMG
2024-02-02,Yuliia,Original,GIF,v2,417778,True,"Passerby Saves Girl from Abuser, not suspecting that it's a trap ",GIF,417778 Original v2 Yuliia GIF
2024-02-02,Artem,Original,IMG,v4,417937,True,My Boyfriend Forces Me to Diet,image,417937 Original v4 Artem IMG
2024-02-02,Dima,Original,VID,v4,418023,True,Millionaire Offered Man Million Dollars to Spend Night With His Wife,video,418023 Original v4 Dima VID
2024-02-02,Andrii,Alt,GIF,v1,417830,True,"Daughter Disappears, Father Tracks Her Phone and Loses the Gift of Speech – Story the Day",GIF,417830 Alt v1 Andrii GIF
2024-02-02,Andrii,Alt,VID,v2,417342,True,"My Wife Was Cheating on ME With My Boss, So I Decided to Take Revenge",video,417342 Alt v2 Andrii VID
2024-02-02,Yuliia,Original,IMG,v3,417783,True,"Rich Man Tries to Buy Poor Mechanic's Daughter, but Pays Too High Price for It – Story of the Day",image,417783 Original v3 Yuliia IMG
2024-02-02,Artem,Original,IMG,v3,417388,False,"I Sent Daughter to My Mom for Summer, Coming There I Learned My Mom Died and Daughter Disappeared",image,417388 Original v3 Artem IMG
2024-02-02,Vasyl,Alt,IMG,v4,417369,False,Girl Shouts Out Loud When She Sees Her Teacher for the First Time: 'My Dad Has a Picture of You' – Story of the Day,image,417369 Alt v4 Vasyl IMG
2024-02-01,Yuliia,Alt,GIF,v1,417428,False,"My Boss Made Me Dance for a Rich Man, It Turned Out That I Already Knew Him",GIF,417428 Alt v1 Yuliia GIF
2024-02-01,Yuliia,Original,IMG,v1,417861,True,Woman Adopts Non-English Speaking Girl - Astonished to Uncover the Truth When She Learns to Communicate – Story of the Day,image,417861 Original v1 Yuliia IMG
2024-02-01,Vasyl,Original,IMG,v4,417541,True,Boy Escapes Kidnapping Using Trick Taught by His Mother,image,417541 Original v4 Vasyl IMG
2024-02-01,Vasyl,Original,IMG,v1,417875,True,Spoiled Girl Mocks Maid Not Knowing Her Rich Dad Has Been Watching Her – Story of the Day,image,417875 Original v1 Vasyl IMG
2024-02-01,Yuliia,Original,GIF,v4,418032,False,Homeless Girl Won Rich Man’s Heart,GIF,418032 Original v4 Yuliia GIF
2024-02-01,Andrii,Original,GIF,v3,417416,False,Student Makes a Pass at Female Professor – Story of the Day,GIF,417416 Original v3 Andrii GIF
2024-02-01,Artem,Original,GIF,v3,416636,True,"Security Guard Kicks Old Man Out of a Club Not Knowing Who He Really Is
",GIF,416636 Original v3 Artem GIF
2024-02-01,Yuliia,Original,IMG,v2,418070,True,"Rich Woman Humiliates Shop Assistant, Karma Hits Her Back in a Few Minutes – Story of the Day",image,418070 Original v2 Yuliia IMG
2024-02-01,Artem,Original,GIF,v4,414954,True,I Found My Little Son Secretly Nursing Stranger Baby in His Room – Story of the Day,GIF,414954 Original v4 Artem GIF
2024-01-31,Andrii,Alt,VID,v1,416673,True,"Saleswoman Paid for Her Disrespectful Behavior to the Poor Old Man
",video,416673 Alt v1 Andrii VID
2024-01-31,Yuliia,Alt,VID,v1,417648,True,I Caught My Husband in Bed With My Student,video,417648 Alt v1 Yuliia VID
2024-01-31,Yuliia,Original,IMG,v2,417928,True,"Hotel Manager Humiliates Wheelchaired Woman, Next Day Sees Her Standing with Hotel Inspector – Story of the Day",image,417928 Original v2 Yuliia IMG
